POSTCODE,DATE,INDEX
2000,2020-02-12,-0.42535537451020705
2000,2020-02-13,-0.42535537451020705
2000,2020-02-14,-0.42535537451020705
2000,2020-02-15,-0.42535537451020705
2000,2020-02-16,-0.42535537451020705
2000,2020-02-17,-0.42535537451020705
2000,2020-02-18,-0.42535537451020705
2000,2020-02-19,-0.42535537451020705
2000,2020-02-20,-0.42535537451020705
2000,2020-02-21,-0.42535537451020705
2000,2020-02-22,-0.42535537451020705
2000,2020-02-23,-0.42535537451020705
2000,2020-02-24,-0.42535537451020705
2000,2020-02-25,-0.42535537451020705
2000,2020-02-26,-0.42535537451020705
2000,2020-02-27,-0.42535537451020705
2000,2020-02-28,-0.42535537451020705
2000,2020-02-29,-0.42535537451020705
2000,2020-03-01,-0.42535537451020705
2000,2020-03-02,-0.27963872422733854
2000,2020-03-03,-0.4454178113873711
2000,2020-03-04,-0.2374121240068346
2000,2020-03-05,-0.28890121464294777
2000,2020-03-06,-0.26119481431070485
2000,2020-03-07,-0.39061391069213475
2000,2020-03-08,-0.3363279069693174
2000,2020-03-09,-0.26155474015553887
2000,2020-03-10,-0.3637392810616625
2000,2020-03-11,-0.20565190297323138
2000,2020-03-12,-0.37119786927080894
2000,2020-03-13,-0.4329074977787542
2000,2020-03-14,-0.3663077994956468
2000,2020-03-15,-0.1972890660220344
2000,2020-03-16,-0.27810776685985644
2000,2020-03-17,-0.29161017661445193
2000,2020-03-18,-0.2778917838217457
2000,2020-03-19,-0.29988317761046607
2000,2020-03-20,-0.2935642110378652
2000,2020-03-21,-0.33881397670909114
2000,2020-03-22,-0.2331745670321948
2000,2020-03-23,-0.2505856324836933
2000,2020-03-24,-0.3805092476185839
2000,2020-03-25,-0.3065944761973513
2000,2020-03-26,-0.27793376443854384
2000,2020-03-27,-0.31584019319396855
2000,2020-03-28,-0.34398638168427303
2000,2020-03-29,-0.37016443112652025
2000,2020-03-30,-0.4201920146462919
2000,2020-03-31,-0.3420942425225902
2000,2020-04-01,-0.28707364342318337
2000,2020-04-02,-0.25796445372387816
2000,2020-04-03,-0.2096204902752336
2000,2020-04-04,-0.35285176264012447
2000,2020-04-05,-0.3610861741262014
2000,2020-04-06,-0.26262923834401924
2000,2020-04-07,-0.33454107627953716
2000,2020-04-08,-0.3160941965522596
2000,2020-04-09,-0.37290711570675833
2000,2020-04-10,-0.45611380185861267
2000,2020-04-11,-0.3969528586128895
2000,2020-04-12,-0.32198421816704487
2000,2020-04-13,-0.34973833118892667
2000,2020-04-14,-0.26602343214496954
2000,2020-04-15,-0.6023933002820829
2000,2020-04-16,-0.417885862810833
2000,2020-04-17,-0.28797671208138736
2000,2020-04-18,-0.2781617116457689
2000,2020-04-19,-0.3487084207056759
2000,2020-04-20,-0.3697850157764149
2000,2020-04-21,-0.3914647642952606
2000,2020-04-22,-0.3288701697066177
2000,2020-04-23,-0.3343319987380465
2000,2020-04-24,-0.39319154022406116
2000,2020-04-25,-0.3848117758084733
2000,2020-04-26,-0.25842156712359204
